kod_stacji,nazwa,lon,lat,kategoria,zrodlo,wysokosc_npm,rok_zalozenia
250180110,DOBRODZIEŃ,18.425556,50.729167,IMGW - posterunek opadowy,IMGW-PIB,227,1947
249180620,KOŃCZYCE MAŁE,18.638889,49.852222,IMGW - posterunek opadowy,IMGW-PIB,242,2023
249210420,SMEREKOWIEC,21.233889,49.505278,IMGW - posterunek opadowy,IMGW-PIB,451,2023
249180590,RUPTAWA,18.589444,49.936667,IMGW - posterunek opadowy,IMGW-PIB,230,2023
252220050,BRAŃSK,22.826389,52.741944,IMGW - posterunek opadowy,IMGW-PIB,125,1948
252220120,TONKIELE,22.565278,52.412222,IMGW - posterunek opadowy,IMGW-PIB,115,1984
253170320,LIPA,17.257778,53.050556,IMGW - posterunek opadowy,IMGW-PIB,62,2023
253170340,IWNO,17.418056,53.026667,IMGW - posterunek opadowy,IMGW-PIB,111,2023
250190880,SUŁOSZOWA,19.74,50.258333,IMGW - posterunek opadowy,IMGW-PIB,442,2023
249190060,SIEPRAW,19.964722,49.904722,IMGW - posterunek opadowy,IMGW-PIB,267,1948
250150560,MAŁA KOPA,15.726111,50.743611,IMGW - posterunek opadowy,IMGW-PIB,1341,2023
254190070,TOLKMICKO,19.5225,54.325278,IMGW - posterunek opadowy,IMGW-PIB,2,1981
250190810,LUBSZA,19.004167,50.609722,IMGW - posterunek opadowy,IMGW-PIB,335,2023
250180720,MODZURÓW,18.138889,50.160556,IMGW - posterunek opadowy,IMGW-PIB,244,2023
251150430,BIAŁKÓW,15.021667,51.776944,IMGW - posterunek opadowy,IMGW-PIB,85,2024
250160010,STRZEGOM,16.376389,50.963889,IMGW - posterunek opadowy,IMGW-PIB,211,1949
252140210,BOCZÓW,14.938611,52.316944,IMGW - posterunek opadowy,IMGW-PIB,79,2023
250180560,ŻORY,18.696389,50.053611,IMGW - posterunek opadowy,IMGW-PIB,245,1955
254230040,PODWOJPONIE,23.119444,54.300278,IMGW - posterunek opadowy,IMGW-PIB,207,2023
251150440,SIECIEBORZYCE,15.536944,51.665556,IMGW - posterunek opadowy,IMGW-PIB,150,2024
252170420,ROGOWO,17.643333,52.7325,IMGW - stacja klimatologiczna,IMGW-PIB,94,2023
252230250,ZAMOSZE,23.912778,52.815278,IMGW - posterunek opadowy,IMGW-PIB,157,2018
253220330,MARIANOWO II,22.105833,53.211944,IMGW - stacja klimatologiczna,IMGW-PIB,138,2016
253210350,TYSZKI-WĄDOŁOWO,21.984167,53.447778,IMGW - posterunek opadowy,IMGW-PIB,152,2016
252230240,NAREWKA,23.725,52.863611,IMGW - posterunek opadowy,IMGW-PIB,143,2005
252230230,NAREW,23.522778,52.916667,IMGW - posterunek opadowy,IMGW-PIB,134,2005
253210290,PTAKI,21.791667,53.393056,IMGW - posterunek opadowy,IMGW-PIB,107,2005
253210280,DOBRYLAS,21.864722,53.285278,IMGW - posterunek opadowy,IMGW-PIB,102,2005
251160170,CHWAŁKOWICE,16.613056,51.448333,IMGW - stacja klimatologiczna,IMGW-PIB,178,1978
251170290,NAMYSŁÓW,17.715833,51.065833,IMGW - stacja klimatologiczna,IMGW-PIB,152,1946
250150030,POBIEDNA,15.308611,50.951944,IMGW - posterunek opadowy,IMGW-PIB,409,1948
